timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1678858908318,107,HTTP request,200,OK,Web endpoint test 1-1,text,true,,109427,117,4,4,http://www.bing.com/,49,0,0
1678858908319,108,HTTP request,200,OK,Web endpoint test 1-3,text,true,,109178,117,4,4,http://www.bing.com/,55,0,0
1678858908335,171,HTTP request,200,OK,Web endpoint test 1-4,text,true,,109427,117,4,4,http://www.bing.com/,86,0,28
1678858908426,102,HTTP request,200,OK,Web endpoint test 1-1,text,true,,109428,117,4,4,http://www.bing.com/,44,0,0
1678858908421,108,HTTP request,200,OK,Web endpoint test 1-2,text,true,,109422,117,4,4,http://www.bing.com/,50,0,0
1678858908428,104,HTTP request,200,OK,Web endpoint test 1-3,text,true,,109140,117,4,4,http://www.bing.com/,53,0,0
1678858908507,152,HTTP request,200,OK,Web endpoint test 1-4,text,true,,110214,117,4,4,http://www.bing.com/,54,0,0
1678858908529,134,HTTP request,200,OK,Web endpoint test 1-1,text,true,,110245,117,4,4,http://www.bing.com/,52,0,0
1678858908530,134,HTTP request,200,OK,Web endpoint test 1-2,text,true,,110217,117,4,4,http://www.bing.com/,52,0,0
1678858908532,133,HTTP request,200,OK,Web endpoint test 1-3,text,true,,110214,117,4,4,http://www.bing.com/,56,0,0
1678858908665,108,HTTP request,200,OK,Web endpoint test 1-2,text,true,,109453,117,4,4,http://www.bing.com/,47,0,0
1678858908664,125,HTTP request,200,OK,Web endpoint test 1-1,text,true,,109423,117,4,4,http://www.bing.com/,57,0,0
1678858908665,124,HTTP request,200,OK,Web endpoint test 1-3,text,true,,109421,117,4,4,http://www.bing.com/,56,0,0
1678858908659,131,HTTP request,200,OK,Web endpoint test 1-4,text,true,,106721,117,4,4,http://www.bing.com/,63,0,0
1678858908773,105,HTTP request,200,OK,Web endpoint test 1-2,text,true,,109139,117,4,4,http://www.bing.com/,49,0,0
1678858908789,112,HTTP request,200,OK,Web endpoint test 1-1,text,true,,109452,117,4,4,http://www.bing.com/,52,0,0
1678858908789,113,HTTP request,200,OK,Web endpoint test 1-3,text,true,,109421,117,4,4,http://www.bing.com/,59,0,0
1678858908791,112,HTTP request,200,OK,Web endpoint test 1-4,text,true,,110523,117,4,4,http://www.bing.com/,58,0,0
1678858908879,98,HTTP request,200,OK,Web endpoint test 1-2,text,true,,109144,117,4,4,http://www.bing.com/,48,0,0
1678858908902,97,HTTP request,200,OK,Web endpoint test 1-1,text,true,,109421,117,4,4,http://www.bing.com/,43,0,0
1678858908902,102,HTTP request,200,OK,Web endpoint test 1-3,text,true,,109139,117,4,4,http://www.bing.com/,51,0,0
1678858908903,102,HTTP request,200,OK,Web endpoint test 1-4,text,true,,110217,117,4,4,http://www.bing.com/,51,0,0
1678858908978,113,HTTP request,200,OK,Web endpoint test 1-2,text,true,,107475,117,4,4,http://www.bing.com/,52,0,0
1678858908999,109,HTTP request,200,OK,Web endpoint test 1-1,text,true,,109143,117,4,4,http://www.bing.com/,51,0,0
1678858909005,104,HTTP request,200,OK,Web endpoint test 1-3,text,true,,109144,117,4,4,http://www.bing.com/,50,0,0
1678858909006,103,HTTP request,200,OK,Web endpoint test 1-4,text,true,,109175,117,4,4,http://www.bing.com/,44,0,0
1678858909091,139,HTTP request,200,OK,Web endpoint test 1-2,text,true,,106689,117,4,4,http://www.bing.com/,53,0,0
1678858909109,128,HTTP request,200,OK,Web endpoint test 1-1,text,true,,109175,117,4,4,http://www.bing.com/,46,0,0
1678858909110,131,HTTP request,200,OK,Web endpoint test 1-3,text,true,,109178,117,4,4,http://www.bing.com/,59,0,0
1678858909110,131,HTTP request,200,OK,Web endpoint test 1-4,text,true,,110493,117,4,4,http://www.bing.com/,64,0,0
1678858909230,125,HTTP request,200,OK,Web endpoint test 1-2,text,true,,110496,117,4,4,http://www.bing.com/,45,0,0
1678858909238,127,HTTP request,200,OK,Web endpoint test 1-1,text,true,,109139,117,4,4,http://www.bing.com/,52,0,0
1678858909241,125,HTTP request,200,OK,Web endpoint test 1-3,text,true,,109438,117,4,4,http://www.bing.com/,54,0,0
1678858909242,125,HTTP request,200,OK,Web endpoint test 1-4,text,true,,109422,117,4,4,http://www.bing.com/,65,0,0
1678858909355,143,HTTP request,200,OK,Web endpoint test 1-2,text,true,,109431,117,4,4,http://www.bing.com/,59,0,0
1678858909366,134,HTTP request,200,OK,Web endpoint test 1-3,text,true,,107471,117,4,4,http://www.bing.com/,57,0,0
1678858909367,135,HTTP request,200,OK,Web endpoint test 1-4,text,true,,109145,117,4,4,http://www.bing.com/,60,0,0
1678858909366,136,HTTP request,200,OK,Web endpoint test 1-1,text,true,,110212,117,4,4,http://www.bing.com/,61,0,0
1678858909502,133,HTTP request,200,OK,Web endpoint test 1-1,text,true,,109169,117,4,4,http://www.bing.com/,55,0,0
1678858909498,143,HTTP request,200,OK,Web endpoint test 1-2,text,true,,109458,117,4,4,http://www.bing.com/,59,0,0
1678858909501,141,HTTP request,200,OK,Web endpoint test 1-3,text,true,,109175,117,4,4,http://www.bing.com/,66,0,0
1678858909502,140,HTTP request,200,OK,Web endpoint test 1-4,text,true,,110496,117,4,4,http://www.bing.com/,65,0,0
1678858909636,138,HTTP request,200,OK,Web endpoint test 1-1,text,true,,106684,117,4,4,http://www.bing.com/,52,0,0
1678858909642,134,HTTP request,200,OK,Web endpoint test 1-3,text,true,,110483,117,4,4,http://www.bing.com/,46,0,0
1678858909641,138,HTTP request,200,OK,Web endpoint test 1-2,text,true,,109412,117,4,4,http://www.bing.com/,59,0,0
1678858909642,142,HTTP request,200,OK,Web endpoint test 1-4,text,true,,106566,117,4,4,http://www.bing.com/,95,0,0
1678858909780,137,HTTP request,200,OK,Web endpoint test 1-2,text,true,,109145,117,4,4,http://www.bing.com/,48,0,0
1678858909775,146,HTTP request,200,OK,Web endpoint test 1-1,text,true,,109427,117,4,4,http://www.bing.com/,65,0,0
1678858909784,138,HTTP request,200,OK,Web endpoint test 1-4,text,true,,109139,117,4,4,http://www.bing.com/,58,0,0
1678858909777,145,HTTP request,200,OK,Web endpoint test 1-3,text,true,,110523,117,4,4,http://www.bing.com/,61,0,0
1678858909918,148,HTTP request,200,OK,Web endpoint test 1-2,text,true,,109426,117,4,4,http://www.bing.com/,50,0,0
1678858909922,146,HTTP request,200,OK,Web endpoint test 1-1,text,true,,109175,117,4,4,http://www.bing.com/,59,0,0
1678858909923,146,HTTP request,200,OK,Web endpoint test 1-3,text,true,,109425,117,4,4,http://www.bing.com/,58,0,0
1678858909922,147,HTTP request,200,OK,Web endpoint test 1-4,text,true,,109427,117,4,4,http://www.bing.com/,62,0,0
1678858910067,144,HTTP request,200,OK,Web endpoint test 1-2,text,true,,109169,117,4,4,http://www.bing.com/,51,0,0
1678858910069,147,HTTP request,200,OK,Web endpoint test 1-1,text,true,,109139,117,4,4,http://www.bing.com/,62,0,0
1678858910069,147,HTTP request,200,OK,Web endpoint test 1-4,text,true,,109175,117,4,4,http://www.bing.com/,67,0,0
1678858910069,147,HTTP request,200,OK,Web endpoint test 1-3,text,true,,109423,117,4,4,http://www.bing.com/,71,0,0
1678858910211,139,HTTP request,200,OK,Web endpoint test 1-2,text,true,,109423,117,5,5,http://www.bing.com/,48,0,0
1678858910216,138,HTTP request,200,OK,Web endpoint test 1-1,text,true,,110230,117,5,5,http://www.bing.com/,48,0,0
1678858910217,139,HTTP request,200,OK,Web endpoint test 1-3,text,true,,107652,117,5,5,http://www.bing.com/,66,0,0
1678858910217,139,HTTP request,200,OK,Web endpoint test 1-4,text,true,,109421,117,5,5,http://www.bing.com/,55,0,0
1678858910356,161,HTTP request,200,OK,Web endpoint test 1-4,text,true,,109427,117,5,5,http://www.bing.com/,48,0,0
1678858910350,167,HTTP request,200,OK,Web endpoint test 1-2,text,true,,109453,117,5,5,http://www.bing.com/,56,0,0
1678858910355,165,HTTP request,200,OK,Web endpoint test 1-1,text,true,,106701,117,5,5,http://www.bing.com/,67,0,0
1678858910356,166,HTTP request,200,OK,Web endpoint test 1-3,text,true,,109422,117,5,5,http://www.bing.com/,67,0,0
1678858910332,190,HTTP request,200,OK,Web endpoint test 1-5,text,true,,109142,117,5,5,http://www.bing.com/,97,0,21
1678858910518,145,HTTP request,200,OK,Web endpoint test 1-4,text,true,,107758,117,5,5,http://www.bing.com/,48,0,0
1678858910520,150,HTTP request,200,OK,Web endpoint test 1-1,text,true,,109426,117,5,5,http://www.bing.com/,52,0,0
1678858910518,155,HTTP request,200,OK,Web endpoint test 1-2,text,true,,109423,117,5,5,http://www.bing.com/,67,0,0
1678858910522,152,HTTP request,200,OK,Web endpoint test 1-3,text,true,,109428,117,5,5,http://www.bing.com/,73,0,0
1678858910522,152,HTTP request,200,OK,Web endpoint test 1-5,text,true,,109139,117,5,5,http://www.bing.com/,63,0,0
1678858910664,138,HTTP request,200,OK,Web endpoint test 1-4,text,true,,109145,117,5,5,http://www.bing.com/,47,0,0
1678858910671,137,HTTP request,200,OK,Web endpoint test 1-1,text,true,,109421,117,5,5,http://www.bing.com/,48,0,0
1678858910674,138,HTTP request,200,OK,Web endpoint test 1-2,text,true,,109428,117,5,5,http://www.bing.com/,53,0,0
1678858910674,138,HTTP request,200,OK,Web endpoint test 1-5,text,true,,106410,117,5,5,http://www.bing.com/,56,0,0
1678858910674,138,HTTP request,200,OK,Web endpoint test 1-3,text,true,,109170,117,5,5,http://www.bing.com/,58,0,0
1678858910803,149,HTTP request,200,OK,Web endpoint test 1-4,text,true,,109458,117,5,5,http://www.bing.com/,47,0,0
1678858910809,148,HTTP request,200,OK,Web endpoint test 1-1,text,true,,109144,117,5,5,http://www.bing.com/,50,0,0
1678858910812,150,HTTP request,200,OK,Web endpoint test 1-5,text,true,,106724,117,5,5,http://www.bing.com/,69,0,0
1678858910812,150,HTTP request,200,OK,Web endpoint test 1-2,text,true,,109176,117,5,5,http://www.bing.com/,64,0,0
1678858910813,150,HTTP request,200,OK,Web endpoint test 1-3,text,true,,109144,117,5,5,http://www.bing.com/,63,0,0
1678858910952,139,HTTP request,200,OK,Web endpoint test 1-4,text,true,,109427,117,5,5,http://www.bing.com/,50,0,0
1678858910957,146,HTTP request,200,OK,Web endpoint test 1-1,text,true,,110500,117,5,5,http://www.bing.com/,55,0,0
1678858910962,142,HTTP request,200,OK,Web endpoint test 1-2,text,true,,109170,117,5,5,http://www.bing.com/,53,0,0
1678858910962,144,HTTP request,200,OK,Web endpoint test 1-5,text,true,,109458,117,5,5,http://www.bing.com/,69,0,0
1678858910963,143,HTTP request,200,OK,Web endpoint test 1-3,text,true,,109144,117,5,5,http://www.bing.com/,68,0,0
1678858911092,112,HTTP request,200,OK,Web endpoint test 1-4,text,true,,109139,117,5,5,http://www.bing.com/,50,0,0
1678858911105,129,HTTP request,200,OK,Web endpoint test 1-2,text,true,,110498,117,5,5,http://www.bing.com/,57,0,0
1678858911106,131,HTTP request,200,OK,Web endpoint test 1-5,text,true,,109459,117,5,5,http://www.bing.com/,60,0,0
1678858911104,133,HTTP request,200,OK,Web endpoint test 1-1,text,true,,109427,117,5,5,http://www.bing.com/,60,0,0
1678858911106,131,HTTP request,200,OK,Web endpoint test 1-3,text,true,,110523,117,5,5,http://www.bing.com/,64,0,0
1678858911204,83,HTTP request,200,OK,Web endpoint test 1-4,text,true,,109428,117,5,5,http://www.bing.com/,52,0,0
1678858911235,86,HTTP request,200,OK,Web endpoint test 1-2,text,true,,106577,117,5,5,http://www.bing.com/,43,0,0
1678858911237,94,HTTP request,200,OK,Web endpoint test 1-1,text,true,,106401,117,5,5,http://www.bing.com/,48,0,0
1678858911237,96,HTTP request,200,OK,Web endpoint test 1-5,text,true,,109458,117,5,5,http://www.bing.com/,56,0,0
1678858911237,118,HTTP request,200,OK,Web endpoint test 1-3,text,true,,106400,117,5,5,http://www.bing.com/,89,0,0
1678858911288,76,HTTP request,200,OK,Web endpoint test 1-4,text,true,,109173,117,5,5,http://www.bing.com/,47,0,0
1678858911322,94,HTTP request,200,OK,Web endpoint test 1-2,text,true,,109459,117,5,5,http://www.bing.com/,51,0,0
1678858911332,90,HTTP request,200,OK,Web endpoint test 1-1,text,true,,109457,117,5,5,http://www.bing.com/,47,0,0
1678858911333,104,HTTP request,200,OK,Web endpoint test 1-5,text,true,,110513,117,5,5,http://www.bing.com/,51,0,0
1678858911355,92,HTTP request,200,OK,Web endpoint test 1-3,text,true,,106438,117,5,5,http://www.bing.com/,49,0,0
1678858911364,91,HTTP request,200,OK,Web endpoint test 1-4,text,true,,109421,117,5,5,http://www.bing.com/,59,0,0
1678858911416,125,HTTP request,200,OK,Web endpoint test 1-2,text,true,,110492,117,5,5,http://www.bing.com/,49,0,0
1678858911438,134,HTTP request,200,OK,Web endpoint test 1-5,text,true,,109175,117,5,5,http://www.bing.com/,57,0,0
1678858911423,150,HTTP request,200,OK,Web endpoint test 1-1,text,true,,109456,117,5,5,http://www.bing.com/,76,0,0
1678858911448,125,HTTP request,200,OK,Web endpoint test 1-3,text,true,,109145,117,5,5,http://www.bing.com/,53,0,0
1678858911455,120,HTTP request,200,OK,Web endpoint test 1-4,text,true,,109144,117,5,5,http://www.bing.com/,57,0,0
1678858911541,138,HTTP request,200,OK,Web endpoint test 1-2,text,true,,109139,117,5,5,http://www.bing.com/,50,0,0
